yemeni_textual_number,numerical_value
خمس الاف وثمانمائه,5800
خمسه الف وتسعميه,5900
خمس الاف وتسعميه,5900
خمسه الف وتسعمائه,5900
خمس الاف وتسعمائه,5900
سته الف,6000
ست الاف,6000
سته الف وميه,6100
ست الاف وميه,6100
سته الف ومائه,6100
ست الاف ومائه,6100
سته الف ومائة,6100
ست الاف ومائة,6100
سته الف وميتين,6200
ست الاف وميتين,6200
سته الف ومائتين,6200
ست الاف ومائتين,6200
سته الف ومئتين,6200
ست الاف ومئتين,6200
سته الف وثلاثميه,6300
ست الاف وثلاثميه,6300
سته الف وثلاثمائه,6300
ست الاف وثلاثمائه,6300
سته الف واربعميه,6400
ست الاف واربعميه,6400
سته الف واربعمائه,6400
ست الاف واربعمائه,6400
سته الف وخمسميه,6500
ست الاف وخمسميه,6500
سته الف وخمسمائه,6500
ست الاف وخمسمائه,6500
سته الف وخمس,6500
ست الاف وخمس,6500
سته الف ونص,6500
ست الاف ونص,6500
سته الف وستميه,6600
ست الاف وستميه,6600
سته الف وستمائه,6600
ست الاف وستمائه,6600
سته الف وسبعميه,6700
ست الاف وسبعميه,6700
سته الف وسبعمائه,6700
ست الاف وسبعمائه,6700
سته الف وثمانميه,6800
ست الاف وثمانميه,6800
سته الف وثمانمائه,6800
ست الاف وثمانمائه,6800
سته الف وتسعميه,6900
ست الاف وتسعميه,6900
سته الف وتسعمائه,6900
ست الاف وتسعمائه,6900
سبعه الف,7000
سبع الاف,7000
سبعه الف وميه,7100
سبع الاف وميه,7100
سبعه الف ومائه,7100
سبع الاف ومائه,7100
سبعه الف ومائة,7100
سبع الاف ومائة,7100
سبعه الف وميتين,7200
سبع الاف وميتين,7200
سبعه الف ومائتين,7200
سبع الاف ومائتين,7200
سبعه الف ومئتين,7200
سبع الاف ومئتين,7200
سبعه الف وثلاثميه,7300
سبع الاف وثلاثميه,7300
سبعه الف وثلاثمائه,7300
سبع الاف وثلاثمائه,7300
سبعه الف واربعميه,7400
سبع الاف واربعميه,7400
سبعه الف واربعمائه,7400
سبع الاف واربعمائه,7400
سبعه الف وخمسميه,7500
سبع الاف وخمسميه,7500
سبعه الف وخمسمائه,7500
سبع الاف وخمسمائه,7500
سبعه الف وخمس,7500
سبع الاف وخمس,7500
سبعه الف ونص,7500
سبع الاف ونص,7500
سبعه الف وستميه,7600
سبع الاف وستميه,7600
سبعه الف وستمائه,7600
سبع الاف وستمائه,7600
سبعه الف وسبعميه,7700
سبع الاف وسبعميه,7700
سبعه الف وسبعمائه,7700
سبع الاف وسبعمائه,7700
سبعه الف وثمانميه,7800
سبع الاف وثمانميه,7800
سبعه الف وثمانمائه,7800
سبع الاف وثمانمائه,7800
سبعه الف وتسعميه,7900
سبع الاف وتسعميه,7900
سبعه الف وتسعمائه,7900
سبع الاف وتسعمائه,7900
ثمانيه الف,8000
ثمان الاف,8000
ثمن الاف,8000
ثمانيه الف وميه,8100
ثمان الاف وميه,8100
ثمن الاف وميه,8100
ثمانيه الف ومائه,8100
ثمان الاف ومائه,8100
ثمن الاف ومائه,8100
ثمانيه الف ومائة,8100
ثمان الاف ومائة,8100
ثمن الاف ومائة,8100
ثمانيه الف وميتين,8200
ثمان الاف وميتين,8200
ثمن الاف وميتين,8200
ثمانيه الف ومائتين,8200
ثمان الاف ومائتين,8200
ثمن الاف ومائتين,8200
ثمانيه الف ومئتين,8200
ثمان الاف ومئتين,8200
ثمن الاف ومئتين,8200
ثمانيه الف وثلاثميه,8300
ثمان الاف وثلاثميه,8300
ثمن الاف وثلاثميه,8300
ثمانيه الف وثلاثمائه,8300
ثمان الاف وثلاثمائه,8300
ثمن الاف وثلاثمائه,8300
ثمانيه الف واربعميه,8400
ثمان الاف واربعميه,8400
ثمن الاف واربعميه,8400
ثمانيه الف واربعمائه,8400
ثمان الاف واربعمائه,8400
ثمن الاف واربعمائه,8400
ثمانيه الف وخمسميه,8500
ثمان الاف وخمسميه,8500
ثمن الاف وخمسميه,8500
ثمانيه الف وخمسمائه,8500
ثمان الاف وخمسمائه,8500
ثمن الاف وخمسمائه,8500
ثمانيه الف وخمس,8500
ثمان الاف وخمس,8500
ثمن الاف وخمس,8500
ثمانيه الف ونص,8500
ثمان الاف ونص,8500
ثمن الاف ونص,8500
ثمانيه الف وستميه,8600
ثمان الاف وستميه,8600
ثمن الاف وستميه,8600
ثمانيه الف وستمائه,8600
ثمان الاف وستمائه,8600
ثمن الاف وستمائه,8600
ثمانيه الف وسبعميه,8700
ثمان الاف وسبعميه,8700
ثمن الاف وسبعميه,8700
ثمانيه الف وسبعمائه,8700
ثمان الاف وسبعمائه,8700
ثمن الاف وسبعمائه,8700
ثمانيه الف وثمانميه,8800
ثمان الاف وثمانميه,8800
ثمن الاف وثمانميه,8800
ثمانيه الف وثمانمائه,8800
ثمان الاف وثمانمائه,8800
ثمن الاف وثمانمائه,8800
ثمانيه الف وتسعميه,8900
ثمان الاف وتسعميه,8900
ثمن الاف وتسعميه,8900
ثمانيه الف وتسعمائه,8900
ثمان الاف وتسعمائه,8900
ثمن الاف وتسعمائه,8900
تسعه الف,9000
تسع الاف,9000
تسعه الف وميه,9100
تسع الاف وميه,9100
تسعه الف ومائه,9100
تسع الاف ومائه,9100
تسعه الف ومائة,9100
تسع الاف ومائة,9100
تسعه الف وميتين,9200
تسع الاف وميتين,9200
تسعه الف ومائتين,9200
تسع الاف ومائتين,9200
تسعه الف ومئتين,9200
تسع الاف ومئتين,9200
تسعه الف وثلاثميه,9300
تسع الاف وثلاثميه,9300
تسعه الف وثلاثمائه,9300
تسع الاف وثلاثمائه,9300
تسعه الف واربعميه,9400
تسع الاف واربعميه,9400
تسعه الف واربعمائه,9400
تسع الاف واربعمائه,9400
تسعه الف وخمسميه,9500
تسع الاف وخمسميه,9500
تسعه الف وخمسمائه,9500
تسع الاف وخمسمائه,9500
تسعه الف وخمس,9500
تسع الاف وخمس,9500
تسعه الف ونص,9500
تسع الاف ونص,9500
تسعه الف وستميه,9600
تسع الاف وستميه,9600
تسعه الف وستمائه,9600
تسع الاف وستمائه,9600
تسعه الف وسبعميه,9700
تسع الاف وسبعميه,9700
تسعه الف وسبعمائه,9700
تسع الاف وسبعمائه,9700
تسعه الف وثمانميه,9800
تسع الاف وثمانميه,9800
تسعه الف وثمانمائه,9800
تسع الاف وثمانمائه,9800
تسعه الف وتسعميه,9900
تسع الاف وتسعميه,9900
تسعه الف وتسعمائه,9900
تسع الاف وتسعمائه,9900
عشره الف,10000
عشر الاف,10000
عشره الاف,10000
عشره الف وميه,10100
عشر الاف وميه,10100
عشره الاف ومائه,10100
عشر الاف ومائه,10100
عشره الف ومائة,10100
عشر الاف ومائة,10100
عشره الف وميتين,10200
عشر الاف وميتين,10200
عشره الاف ومائتين,10200
عشر الاف ومائتين,10200
عشره الف ومئتين,10200
عشر الاف ومئتين,10200
عشره الف وثلاثميه,10300
عشر الاف وثلاثميه,10300
عشره الاف وثلاثمائه,10300
عشر الاف وثلاثمائه,10300
عشره الف واربعميه,10400
عشر الاف واربعميه,10400
عشره الاف واربعمائه,10400
عشر الاف واربعمائه,10400
عشره الف وخمسميه,10500
عشر الاف وخمسميه,10500
عشره الاف وخمسمائه,10500
عشر الاف وخمسمائه,10500
عشره الف وخمس,10500
عشر الاف وخمس,10500
عشره الف ونص,10500
عشر الاف ونص,10500
عشره الف وستميه,10600
عشر الاف وستميه,10600
عشره الاف وستمائه,10600
عشر الاف وستمائه,10600
عشره الف وسبعميه,10700
عشر الاف وسبعميه,10700
عشره الاف وسبعمائه,10700
عشر الاف وسبعمائه,10700
عشره الف وثمانميه,10800
عشر الاف وثمانميه,10800
عشره الاف وثمانمائه,10800
عشر الاف وثمانمائه,10800
عشره الف وتسعميه,10900
عشر الاف وتسعميه,10900
عشره الاف وتسعمائه,10900
عشر الاف وتسعمائه,10900
حداعشر الف,11000
احدعشر الف,11000
احد عشر الف,11000
احدى عشر الف,11000
حداعشر الف وميه,11100
احدعشر الف وميه,11100
احد عشر الف وميه,11100
احدى عشر الف وميه,11100
حداعشر الف ومائه,11100
احدعشر الف ومائه,11100
احد عشر الف ومائه,11100
احدى عشر الف ومائه,11100
حداعشر الف ومائة,11100
احدعشر الف ومائة,11100
احد عشر الف ومائة,11100
احدى عشر الف ومائة,11100
حداعشر الف وميتين,11200
احدعشر الف وميتين,11200
احد عشر الف وميتين,11200
احدى عشر الف وميتين,11200
حداعشر الف ومائتين,11200
احدعشر الف ومائتين,11200
احد عشر الف ومائتين,11200
احدى عشر الف ومائتين,11200
حداعشر الف ومئتين,11200
احدعشر الف ومئتين,11200
احد عشر الف ومئتين,11200
احدى عشر الف ومئتين,11200
حداعشر الف وثلاثميه,11300
احدعشر الف وثلاثميه,11300
احد عشر الف وثلاثميه,11300
احدى عشر الف وثلاثميه,11300
حداعشر الف وثلاث ميه,11300
احدعشر الف وثلاث ميه,11300
احد عشر الف وثلاث ميه,11300
احدى عشر الف وثلاث ميه,11300
حداعشر الف وثلاثمائه,11300
احدعشر الف وثلاثمائه,11300
احد عشر الف وثلاثمائه,11300
احدى عشر الف وثلاثمائه,11300
حداعشر الف وثلاث مائه,11300
احدعشر الف وثلاث مائه,11300
احد عشر الف وثلاث مائه,11300
احدى عشر الف وثلاث مائه,11300
حداعشر الف واربعميه,11400
احدعشر الف واربعميه,11400
احد عشر الف واربعميه,11400
احدى عشر الف واربعميه,11400
حداعشر الف واربع ميه,11400
احدعشر الف واربع ميه,11400
احد عشر الف واربع ميه,11400
احدى عشر الف واربع ميه,11400
حداعشر الف واربعمائه,11400
احدعشر الف واربعمائه,11400
احد عشر الف واربعمائه,11400
احدى عشر الف واربعمائه,11400
حداعشر الف واربع مائه,11400
احدعشر الف واربع مائه,11400
احد عشر الف واربع مائه,11400
احدى عشر الف واربع مائه,11400
حداعشر الف وخمسميه,11500
احدعشر الف وخمسميه,11500
احد عشر الف وخمسميه,11500
احدى عشر الف وخمسميه,11500
حداعشر الف وخمس ميه,11500
احدعشر الف وخمس ميه,11500
احد عشر الف وخمس ميه,11500
احدى عشر الف وخمس ميه,11500
حداعشر الف وخمسمائه,11500
احدعشر الف وخمسمائه,11500
احد عشر الف وخمسمائه,11500
احدى عشر الف وخمسمائه,11500
حداعشر الف وخمس مائه,11500
احدعشر الف وخمس مائه,11500
احد عشر الف وخمس مائه,11500
احدى عشر الف وخمس مائه,11500
حداعشر الف وستميه,11600
احدعشر الف وستميه,11600
احد عشر الف وستميه,11600
احدى عشر الف وستميه,11600
حداعشر الف وست ميه,11600
احدعشر الف وست ميه,11600
احد عشر الف وست ميه,11600
احدى عشر الف وست ميه,11600
حداعشر الف وستمائه,11600
احدعشر الف وستمائه,11600
احد عشر الف وستمائه,11600
احدى عشر الف وستمائه,11600
حداعشر الف وست مائه,11600
احدعشر الف وست مائه,11600
احد عشر الف وست مائه,11600
احدى عشر الف وست مائه,11600
حداعشر الف وسبعميه,11700
احدعشر الف وسبعميه,11700
احد عشر الف وسبعميه,11700
احدى عشر الف وسبعميه,11700
حداعشر الف وسبع ميه,11700
احدعشر الف وسبع ميه,11700
احد عشر الف وسبع ميه,11700
احدى عشر الف وسبع ميه,11700
حداعشر الف وسبعمائه,11700
احدعشر الف وسبعمائه,11700
احد عشر الف وسبعمائه,11700
احدى عشر الف وسبعمائه,11700
حداعشر الف وسبع مائه,11700
احدعشر الف وسبع مائه,11700
احد عشر الف وسبع مائه,11700
احدى عشر الف وسبع مائه,11700
حداعشر الف وثمانميه,11800
احدعشر الف وثمانميه,11800
احد عشر الف وثمانميه,11800
احدى عشر الف وثمانميه,11800
حداعشر الف وثمان ميه,11800
احدعشر الف وثمان ميه,11800
احد عشر الف وثمان ميه,11800
احدى عشر الف وثمان ميه,11800
حداعشر الف وثمانمائه,11800
احدعشر الف وثمانمائه,11800
احد عشر الف وثمانمائه,11800
احدى عشر الف وثمانمائه,11800
حداعشر الف وثمان مائه,11800
احدعشر الف وثمان مائه,11800
احد عشر الف وثمان مائه,11800
احدى عشر الف وثمان مائه,11800
حداعشر الف وتسعميه,11900
احدعشر الف وتسعميه,11900
احد عشر الف وتسعميه,11900
احدى عشر الف وتسعميه,11900
حداعشر الف وتسع ميه,11900
احدعشر الف وتسع ميه,11900
احد عشر الف وتسع ميه,11900
احدى عشر الف وتسع ميه,11900
حداعشر الف وتسعمائه,11900
احدعشر الف وتسعمائه,11900
احد عشر الف وتسعمائه,11900
احدى عشر الف وتسعمائه,11900
حداعشر الف وتسع مائه,11900
احدعشر الف وتسع مائه,11900
احد عشر الف وتسع مائه,11900
احدى عشر الف وتسع مائه,11900
اثناعشر الف,12000
اثني عشر الف,12000
اثناعشر الف وميه,12100
اثني عشر الف وميه,12100
اثناعشر الف ومائه,12100
اثني عشر الف ومائه,12100
اثناعشر الف ومائة,12100
اثني عشر الف ومائة,12100
اثناعشر الف وميتين,12200
اثني عشر الف وميتين,12200
اثناعشر الف ومائتين,12200
اثني عشر الف ومائتين,12200
اثناعشر الف ومئتين,12200
اثني عشر الف ومئتين,12200
اثناعشر الف وثلاثميه,12300
اثني عشر الف وثلاثميه,12300
اثناعشر الف وثلاث ميه,12300
اثني عشر الف وثلاث ميه,12300
اثناعشر الف وثلاثمائه,12300
اثني عشر الف وثلاثمائه,12300
اثناعشر الف وثلاث مائه,12300
اثني عشر الف وثلاث مائه,12300
اثناعشر الف واربعميه,12400
اثني عشر الف واربعميه,12400
اثناعشر الف واربع ميه,12400
اثني عشر الف واربع ميه,12400
اثناعشر الف واربعمائه,12400
اثني عشر الف واربعمائه,12400
اثناعشر الف واربع مائه,12400
اثني عشر الف واربع مائه,12400
اثناعشر الف وخمسميه,12500
اثني عشر الف وخمسميه,12500
اثناعشر الف وخمس ميه,12500
اثني عشر الف وخمس ميه,12500
